date,day_strain,elevated_hr,low_hrv,high_strain_flag,poor_sleep,short_sleep,sleep_debt_flag,any_anomaly,ml_score,ml_flag,ml_top_feats,ml_score_pct
2024-04-23,6.3,False,False,False,False,False,False,False,-0.006444025379934715,False,day_strain (|z|≈0.6),9.772966883743194
2024-04-24,6.550000000000001,False,False,False,False,False,False,False,-0.02133498456044569,False,day_strain (|z|≈0.6),5.340078928673781
2024-04-26,6.9,False,False,False,False,False,False,False,-0.0011404097767008237,False,day_strain (|z|≈0.5),11.351799613112545
2024-04-28,12.65,False,False,False,False,False,False,False,0.032562064317987804,False,day_strain (|z|≈1.0),21.384685316399903
2024-04-30,13.3,False,False,False,False,False,False,False,0.014765133529381691,False,day_strain (|z|≈1.1),16.086719001827753
2024-05-01,6.9,False,False,False,False,False,False,False,-0.0011404097767008237,False,day_strain (|z|≈0.5),11.351799613112545
2024-05-02,,False,False,False,False,False,False,False,-0.020094904473375808,False,,5.709238229606394
2024-05-03,0.0,False,False,False,False,False,False,False,0.2966466631955371,True,day_strain (|z|≈2.3),99.9999997023101
2024-10-08,5.4,False,False,False,False,False,False,False,-0.010076114630169442,False,day_strain (|z|≈0.9),8.69173064543728
2024-10-09,9.1,False,False,False,False,False,False,False,-0.03927338006097958,False,day_strain (|z|≈0.1),0.0
2024-10-11,9.6,False,False,False,False,False,False,False,-0.024763459491789763,False,day_strain (|z|≈0.2),4.3194566139404555
2024-10-13,11.4,False,False,False,False,False,False,False,-0.002318386585499377,False,day_strain (|z|≈0.6),11.00112783006794
2024-10-15,5.6,False,False,False,False,False,False,False,0.0035537584397776767,False,day_strain (|z|≈0.8),12.749206018814826
2024-10-16,15.1,False,False,True,False,False,False,True,0.033899021533393525,False,day_strain (|z|≈1.6),21.78268395871515
2024-10-17,12.5,False,False,False,False,False,False,False,0.034841505995450106,False,day_strain (|z|≈0.9),22.063252051679818
2024-10-19,14.3,False,False,True,False,False,False,True,0.04907708711925496,False,day_strain (|z|≈1.4),26.301040587136853
2024-10-21,5.2,False,False,False,False,False,False,False,-0.013774114179398056,False,day_strain (|z|≈0.9),7.59087357767483
2024-10-22,6.5,False,False,False,False,False,False,False,-0.03783326088776939,False,day_strain (|z|≈0.6),0.42870891387192
2024-10-23,10.2,False,False,False,False,False,False,False,0.02033858102954278,False,day_strain (|z|≈0.3),17.745877958089697
2024-10-24,9.6,False,False,False,False,False,False,False,-0.024763459491789763,False,day_strain (|z|≈0.2),4.3194566139404555
2024-10-26,4.1,False,False,False,False,False,False,False,0.0792166674635173,False,day_strain (|z|≈1.2),35.273288852633925
2024-10-28,9.75,False,False,False,False,False,False,False,-0.013252004426079322,False,day_strain (|z|≈0.2),7.74630037111739
2024-10-29,5.6,False,False,False,False,False,False,False,0.0035537584397776767,False,day_strain (|z|≈0.8),12.749206018814826
2024-10-30,6.0,False,False,False,False,False,False,False,-0.0007643851105055832,False,day_strain (|z|≈0.7),11.46373835348378
2024-11-01,4.5,False,False,False,False,False,False,False,0.05036076743385187,False,day_strain (|z|≈1.1),26.683179234873116
2024-11-02,20.5,False,False,True,False,False,False,True,0.24264909129838674,True,day_strain (|z|≈3.0),83.92546862850597
2024-11-03,7.2,False,False,False,False,False,False,False,0.006856727325685652,False,day_strain (|z|≈0.4),13.73246645307035
2024-11-05,5.5,False,False,False,False,False,False,False,-0.0038248090160425408,False,day_strain (|z|≈0.9),10.552681107015944
2024-11-07,6.5,False,False,False,False,False,False,False,-0.03783326088776939,False,day_strain (|z|≈0.6),0.42870891387192
2024-11-08,11.1,False,False,False,False,False,False,False,-0.00028423193025073346,False,day_strain (|z|≈0.6),11.606675099434014
2024-11-09,7.7,False,False,False,False,False,False,False,-0.010513503954204695,False,day_strain (|z|≈0.3),8.561524267010737
2024-11-10,12.1,False,False,False,False,False,False,False,0.018356955759392446,False,day_strain (|z|≈0.8),17.155968155435257
2024-11-11,11.2,False,False,False,False,False,False,False,-0.006656691024887196,False,day_strain (|z|≈0.6),9.709658471938484
2024-11-12,7.5,False,False,False,False,False,False,False,-0.011191066932042026,False,day_strain (|z|≈0.3),8.359820620734741
2024-11-13,6.7,False,False,False,False,False,False,False,-0.01083243890619301,False,day_strain (|z|≈0.5),8.466580557207944
2024-11-15,10.7,False,False,False,False,False,False,False,0.014997212005123717,False,day_strain (|z|≈0.5),16.15580641703564
2024-11-17,9.1,False,False,False,False,False,False,False,-0.03927338006097958,False,day_strain (|z|≈0.1),0.0
2024-11-18,6.2,False,False,False,False,False,False,False,-0.009317246739437679,False,day_strain (|z|≈0.7),8.91763794204155
2024-11-19,8.8,False,False,False,False,False,False,False,-0.012325785923150423,False,day_strain (|z|≈0.0),8.022026252548157
2024-11-20,3.5,False,False,False,False,False,False,False,0.17511965054272727,True,day_strain (|z|≈1.4),63.822637043948205
2024-11-22,2.75,False,False,False,False,False,False,False,0.2190834045895963,True,day_strain (|z|≈1.6),76.91020201619418
2024-11-29,5.2,False,False,False,False,False,False,False,-0.013774114179398056,False,day_strain (|z|≈0.9),7.59087357767483
2024-11-30,4.5,False,False,False,False,False,False,False,0.05036076743385187,False,day_strain (|z|≈1.1),26.683179234873116
2024-12-03,8.2,False,False,False,False,False,False,False,-0.029071595694075525,False,day_strain (|z|≈0.2),3.0369680349034853
2024-12-04,4.7,False,False,False,False,False,False,False,0.057358890957387776,False,day_strain (|z|≈1.1),28.76644983547829
2024-12-05,5.3,False,False,False,False,False,False,False,0.0003324257017951471,False,day_strain (|z|≈0.9),11.790247840206513
2024-12-06,5.5,False,False,False,False,False,False,False,-0.0038248090160425408,False,day_strain (|z|≈0.9),10.552681107015944
2024-12-07,5.0,False,False,False,False,False,False,False,0.02846024383665946,False,day_strain (|z|≈1.0),20.16361484101139
2024-12-08,9.05,False,False,False,False,False,False,False,-0.03213295466599847,False,day_strain (|z|≈0.1),2.125632428628911
2024-12-11,11.55,False,False,False,False,False,False,False,0.006598908659562364,False,day_strain (|z|≈0.7),13.655716443497711
2024-12-13,15.6,False,False,True,False,False,False,True,0.05929340559246732,False,day_strain (|z|≈1.7),29.342335278504223
2024-12-14,15.0,False,False,True,False,False,False,True,0.04109143013875716,False,day_strain (|z|≈1.6),23.923791263366294
2024-12-15,12.05,False,False,False,False,False,False,False,0.008900274919460549,False,day_strain (|z|≈0.8),14.34080990524446
2024-12-16,16.9,False,False,True,False,False,False,True,0.10890044558246137,False,day_strain (|z|≈2.0),44.10984940520304
2024-12-18,13.1,False,False,False,False,False,False,False,0.015524894578045734,False,day_strain (|z|≈1.1),16.312892182515913
2024-12-20,5.1,False,False,False,False,False,False,False,0.00405888329484827,False,day_strain (|z|≈1.0),12.899576579817987
2024-12-23,8.6,False,False,False,False,False,False,False,-0.017961618441758642,False,day_strain (|z|≈0.1),6.344295907197117
2024-12-25,5.2,False,False,False,False,False,False,False,-0.013774114179398056,False,day_strain (|z|≈0.9),7.59087357767483
2024-12-26,6.2,False,False,False,False,False,False,False,-0.009317246739437679,False,day_strain (|z|≈0.7),8.91763794204155
2024-12-27,7.9,False,False,False,False,False,False,False,-0.013253389182562858,False,day_strain (|z|≈0.2),7.745888143116349
2024-12-28,8.6,False,False,False,False,False,False,False,-0.017961618441758642,False,day_strain (|z|≈0.1),6.344295907197117
2024-12-30,4.3,False,False,False,False,False,False,False,0.055688902048229516,False,day_strain (|z|≈1.2),28.269311025898052
2025-01-17,4.1,False,False,False,False,False,False,False,0.0792166674635173,False,day_strain (|z|≈1.2),35.273288852633925
2025-01-18,14.6,False,False,True,False,False,False,True,0.05520372690362829,False,day_strain (|z|≈1.5),28.124879291949263
2025-01-19,9.6,False,False,False,False,False,False,False,-0.024763459491789763,False,day_strain (|z|≈0.2),4.3194566139404555
2025-01-20,6.5,False,False,False,False,False,False,False,-0.03783326088776939,False,day_strain (|z|≈0.6),0.42870891387192
2025-01-21,8.3,False,False,False,False,False,False,False,-0.017720235812392515,False,day_strain (|z|≈0.1),6.4161530748455595
2025-01-22,5.2,False,False,False,False,False,False,False,-0.013774114179398056,False,day_strain (|z|≈0.9),7.59087357767483
2025-01-24,5.2,False,False,False,False,False,False,False,-0.013774114179398056,False,day_strain (|z|≈0.9),7.59087357767483
2025-02-07,9.3,False,False,False,False,False,False,False,-0.021412445749274978,False,day_strain (|z|≈0.1),5.317019516127938
2025-02-08,17.6,False,False,True,False,False,False,True,0.12236803097645199,True,day_strain (|z|≈2.2),48.11901337867122
2025-02-09,9.9,False,False,False,False,False,False,False,-0.016599353851959542,False,day_strain (|z|≈0.3),6.749828298934611
2025-02-10,9.6,False,False,False,False,False,False,False,-0.024763459491789763,False,day_strain (|z|≈0.2),4.3194566139404555
2025-02-11,7.5,False,False,False,False,False,False,False,-0.011191066932042026,False,day_strain (|z|≈0.3),8.359820620734741
2025-02-12,10.3,False,False,False,False,False,False,False,0.0253214030842982,False,day_strain (|z|≈0.4),19.22921369227721
2025-02-13,9.1,False,False,False,False,False,False,False,-0.03927338006097958,False,day_strain (|z|≈0.1),0.0
2025-02-14,4.8,False,False,False,False,False,False,False,0.0502815721722657,False,day_strain (|z|≈1.0),26.659603606404307
2025-02-15,11.2,False,False,False,False,False,False,False,-0.006656691024887196,False,day_strain (|z|≈0.6),9.709658471938484
2025-02-16,5.4,False,False,False,False,False,False,False,-0.010076114630169442,False,day_strain (|z|≈0.9),8.69173064543728
2025-02-17,6.6,False,False,False,False,False,False,False,-0.022079986582047295,False,day_strain (|z|≈0.6),5.118299361083374
2025-02-18,5.1,False,False,False,False,False,False,False,0.00405888329484827,False,day_strain (|z|≈1.0),12.899576579817987
2025-02-19,6.5,False,False,False,False,False,False,False,-0.03783326088776939,False,day_strain (|z|≈0.6),0.42870891387192
2025-02-20,6.7,False,False,False,False,False,False,False,-0.01083243890619301,False,day_strain (|z|≈0.5),8.466580557207944
2025-02-22,5.7,False,False,False,False,False,False,False,0.009731524635630984,False,day_strain (|z|≈0.8),14.588264539281026
2025-02-23,6.9,False,False,False,False,False,False,False,-0.0011404097767008237,False,day_strain (|z|≈0.5),11.351799613112545
2025-02-25,6.2,False,False,False,False,False,False,False,-0.009317246739437679,False,day_strain (|z|≈0.7),8.91763794204155
2025-02-26,4.5,False,False,False,False,False,False,False,0.05036076743385187,False,day_strain (|z|≈1.1),26.683179234873116
2025-03-01,6.5,False,False,False,False,False,False,False,-0.03783326088776939,False,day_strain (|z|≈0.6),0.42870891387192
2025-03-02,5.8,False,False,False,False,False,False,False,0.000682110075531206,False,day_strain (|z|≈0.8),11.894345341893263
2025-03-03,6.0,False,False,False,False,False,False,False,-0.0007643851105055832,False,day_strain (|z|≈0.7),11.46373835348378
2025-03-04,9.7,False,False,False,False,False,False,False,-0.01995397164134538,False,day_strain (|z|≈0.2),5.751192508441512
2025-03-07,4.3,False,False,False,False,False,False,False,0.055688902048229516,False,day_strain (|z|≈1.2),28.269311025898052
2025-03-08,18.4,False,False,True,False,False,False,True,0.15196355929615024,True,day_strain (|z|≈2.4),56.92930285847921
2025-03-09,7.9,False,False,False,False,False,False,False,-0.013253389182562858,False,day_strain (|z|≈0.2),7.745888143116349
2025-03-10,5.2,False,False,False,False,False,False,False,-0.013774114179398056,False,day_strain (|z|≈0.9),7.59087357767483
2025-03-11,6.1,False,False,False,False,False,False,False,7.683170771755066e-05,False,day_strain (|z|≈0.7),11.714160093003665
2025-03-12,11.3,False,False,False,False,False,False,False,-0.006440407027467565,False,day_strain (|z|≈0.6),9.774044030680097
2025-03-13,13.3,False,False,False,False,False,False,False,0.014765133529381691,False,day_strain (|z|≈1.1),16.086719001827753
2025-03-15,17.5,False,False,True,False,False,False,True,0.11260116225146977,False,day_strain (|z|≈2.2),45.21151533204558
2025-03-16,9.3,False,False,False,False,False,False,False,-0.021412445749274978,False,day_strain (|z|≈0.1),5.317019516127938
2025-03-18,5.449999999999999,False,False,False,False,False,False,False,-0.005343568013107758,False,day_strain (|z|≈0.9),10.10056191287061
2025-03-19,5.8,False,False,False,False,False,False,False,0.000682110075531206,False,day_strain (|z|≈0.8),11.894345341893263
2025-03-21,4.3,False,False,False,False,False,False,False,0.055688902048229516,False,day_strain (|z|≈1.2),28.269311025898052
2025-03-23,10.5,False,False,False,False,False,False,False,0.022778300249516548,False,day_strain (|z|≈0.4),18.472157696880974
2025-03-24,6.5,False,False,False,False,False,False,False,-0.03783326088776939,False,day_strain (|z|≈0.6),0.42870891387192
2025-03-25,7.6,False,False,False,False,False,False,False,-0.020445445034304788,False,day_strain (|z|≈0.3),5.604885849650973
2025-03-27,10.05,False,False,False,False,False,False,False,0.005033754461229445,False,day_strain (|z|≈0.3),13.189785867131828
2025-03-29,6.4,False,False,False,False,False,False,False,-0.015089764766327785,False,day_strain (|z|≈0.6),7.199217703181951
2025-04-01,5.9,False,False,False,False,False,False,False,0.0033983846563295783,False,day_strain (|z|≈0.8),12.702952814784688
2025-04-02,9.7,False,False,False,False,False,False,False,-0.01995397164134538,False,day_strain (|z|≈0.2),5.751192508441512
2025-04-04,11.6,False,False,False,False,False,False,False,0.0062499233079919,False,day_strain (|z|≈0.7),13.551827033640414
2025-04-05,13.9,False,False,False,False,False,False,False,0.04421244577114036,False,day_strain (|z|≈1.3),24.85288605414928
2025-04-06,8.9,False,False,False,False,False,False,False,-0.021621981601738616,False,day_strain (|z|≈0.0),5.254642811895418
2025-04-07,7.0,False,False,False,False,False,False,False,0.0044992393993914526,False,day_strain (|z|≈0.5),13.030666138798551
2025-04-09,6.0,False,False,False,False,False,False,False,-0.0007643851105055832,False,day_strain (|z|≈0.7),11.46373835348378
2025-04-10,9.0,False,False,False,False,False,False,False,-0.03421985282530221,False,day_strain (|z|≈0.0),1.5043839515031654
2025-04-11,6.7,False,False,False,False,False,False,False,-0.01083243890619301,False,day_strain (|z|≈0.5),8.466580557207944
2025-04-12,8.1,False,False,False,False,False,False,False,-0.02177092201109404,False,day_strain (|z|≈0.2),5.210304758271655
2025-04-13,8.2,False,False,False,False,False,False,False,-0.029071595694075525,False,day_strain (|z|≈0.2),3.0369680349034853
2025-04-14,11.0,False,False,False,False,False,False,False,0.0006839902311326362,False,day_strain (|z|≈0.5),11.894905045201707
2025-04-15,8.4,False,False,False,False,False,False,False,-0.01829110558608299,False,day_strain (|z|≈0.1),6.246210916450705
2025-04-16,7.9,False,False,False,False,False,False,False,-0.013253389182562858,False,day_strain (|z|≈0.2),7.745888143116349
2025-04-18,14.0,False,False,False,False,False,False,False,0.04263425082421879,False,day_strain (|z|≈1.3),24.38307337881026
2025-04-19,5.1,False,False,False,False,False,False,False,0.00405888329484827,False,day_strain (|z|≈1.0),12.899576579817987
2025-04-20,4.5,False,False,False,False,False,False,False,0.05036076743385187,False,day_strain (|z|≈1.1),26.683179234873116
2025-04-22,8.25,False,False,False,False,False,False,False,-0.02359337637329062,False,day_strain (|z|≈0.2),4.667778525212186
2025-04-23,9.2,False,False,False,False,False,False,False,-0.03096875335044824,False,day_strain (|z|≈0.1),2.472203386645699
2025-04-24,18.1,False,False,True,False,False,False,True,0.13788946204048602,True,day_strain (|z|≈2.4),52.73958643747372
2025-04-26,6.2,False,False,False,False,False,False,False,-0.009317246739437679,False,day_strain (|z|≈0.7),8.91763794204155
2025-04-27,14.4,False,False,True,False,False,False,True,0.05386202978870902,False,day_strain (|z|≈1.4),27.725469629483655
2025-04-29,12.05,False,False,False,False,False,False,False,0.008900274919460549,False,day_strain (|z|≈0.8),14.34080990524446
2025-05-01,14.6,False,False,True,False,False,False,True,0.05520372690362829,False,day_strain (|z|≈1.5),28.124879291949263
2025-05-02,7.6,False,False,False,False,False,False,False,-0.020445445034304788,False,day_strain (|z|≈0.3),5.604885849650973
2025-05-03,9.1,False,False,False,False,False,False,False,-0.03927338006097958,False,day_strain (|z|≈0.1),0.0
2025-05-05,8.5,False,False,False,False,False,False,False,-0.013879244363987686,False,day_strain (|z|≈0.1),7.559577384908986
2025-05-06,13.8,False,False,False,False,False,False,False,0.04467683198144934,False,day_strain (|z|≈1.3),24.991129132598736
2025-05-07,11.3,False,False,False,False,False,False,False,-0.006440407027467565,False,day_strain (|z|≈0.6),9.774044030680097
2025-05-09,14.9,False,False,True,False,False,False,True,0.0432611459482255,False,day_strain (|z|≈1.5),24.569693717407258
2025-05-10,9.0,False,False,False,False,False,False,False,-0.03421985282530221,False,day_strain (|z|≈0.0),1.5043839515031654
