date,resting_hr,hrv_ms,day_strain,sleep_efficiency_pct,asleep_min,sleep_debt_min,resting_hr_ma7,elevated_hr,low_hrv,high_strain_flag,poor_sleep,short_sleep,sleep_debt_flag,any_anomaly
2024-04-04,54.0,96.0,6.2,90.0,405.0,111.0,54.714285714285715,False,False,False,False,False,True,True
2024-04-06,58.0,85.0,15.1,91.0,412.0,112.0,54.714285714285715,False,False,True,False,False,True,True
2024-04-07,77.0,50.0,10.9,75.0,452.0,111.0,57.42857142857143,False,False,False,True,False,True,True
2024-04-08,57.0,81.0,7.6,89.0,420.0,103.0,58.285714285714285,False,False,False,False,False,True,True
2024-04-09,54.0,97.0,6.6,94.0,460.0,104.0,58.285714285714285,False,False,False,False,False,True,True
2024-04-10,56.0,96.0,6.4,90.0,466.0,73.0,58.57142857142857,False,False,False,False,False,True,True
2024-04-11,54.0,83.0,8.0,88.0,456.0,49.0,58.57142857142857,False,False,False,False,False,False,False
2024-04-12,54.0,86.0,7.7,92.0,447.0,40.0,58.57142857142857,False,False,False,False,False,False,False
2024-04-13,64.0,66.0,13.2,91.0,82.0,99.0,59.42857142857143,False,False,False,False,True,True,True
2024-04-13,64.0,66.0,13.2,85.0,314.0,41.0,57.57142857142857,False,False,False,False,True,False,True
2024-04-14,58.0,80.0,11.6,91.0,447.0,99.0,57.714285714285715,False,False,False,False,False,True,True
2024-04-15,64.0,69.0,11.3,93.0,402.0,96.0,59.142857142857146,False,False,False,False,False,True,True
2024-04-15,64.0,69.0,11.3,90.0,327.0,38.0,60.285714285714285,False,False,False,False,True,False,True
2024-04-15,59.0,91.0,7.0,93.0,402.0,96.0,61.0,False,False,False,False,False,True,True
2024-04-15,59.0,91.0,7.0,90.0,327.0,38.0,61.714285714285715,False,False,False,False,True,False,True
2024-04-16,59.0,97.0,6.8,90.0,461.0,82.0,61.0,False,False,False,False,False,True,True
2024-04-18,55.0,93.0,9.5,92.0,419.0,65.0,59.714285714285715,False,False,False,False,False,True,True
2024-04-19,55.0,78.0,13.1,86.0,365.0,75.0,59.285714285714285,False,False,False,False,False,True,True
2024-04-20,85.0,28.0,8.2,88.0,226.0,92.0,62.285714285714285,False,True,False,False,True,True,True
2024-04-20,85.0,28.0,8.2,85.0,136.0,127.0,65.28571428571429,False,True,False,False,True,True,True
2024-04-21,55.0,103.0,9.0,92.0,381.0,127.0,64.71428571428571,False,False,False,False,False,True,True
2024-04-22,52.0,95.0,5.8,91.0,153.0,53.0,63.714285714285715,False,False,False,False,True,False,True
2024-04-23,59.0,56.0,6.3,91.0,349.0,127.0,63.714285714285715,False,False,False,False,True,True,True
2024-04-24,53.0,79.0,6.9,92.0,333.0,123.0,63.42857142857143,False,False,False,False,True,True,True
2024-04-24,53.0,79.0,6.9,94.0,440.0,127.0,63.142857142857146,False,False,False,False,False,True,True
2024-04-24,59.0,69.0,6.2,94.0,440.0,127.0,59.42857142857143,False,False,False,False,False,True,True
2024-04-24,59.0,69.0,6.2,92.0,333.0,123.0,55.714285714285715,False,False,False,False,True,True,True
2024-04-26,54.0,67.0,6.0,95.0,163.0,126.0,55.57142857142857,False,False,False,False,True,True,True
2024-04-26,54.0,67.0,6.0,92.0,316.0,101.0,55.857142857142854,False,False,False,False,True,True,True
2024-04-26,,,7.8,95.0,163.0,126.0,55.333333333333336,False,False,False,False,True,True,True
2024-04-26,,,7.8,92.0,316.0,101.0,55.8,False,False,False,False,True,True,True
2024-04-28,57.0,66.0,13.5,92.0,326.0,126.0,56.6,False,False,False,False,True,True,True
2024-04-28,57.0,66.0,13.5,92.0,383.0,69.0,56.2,False,False,False,False,False,True,True
2024-04-28,56.0,87.0,11.8,92.0,326.0,126.0,55.6,False,False,False,False,True,True,True
2024-04-28,56.0,87.0,11.8,92.0,383.0,69.0,56.0,False,False,False,False,False,True,True
2024-04-30,58.0,76.0,13.3,95.0,408.0,114.0,56.8,False,False,False,False,False,True,True
2024-05-01,57.0,76.0,6.9,90.0,367.0,122.0,56.833333333333336,False,False,False,False,False,True,True
2024-05-02,60.0,92.0,,90.0,408.0,122.0,57.285714285714285,False,False,False,False,False,True,True
2024-05-03,,,0.0,,,,57.333333333333336,False,False,False,False,False,False,False
2024-10-08,52.0,96.0,6.3,93.0,408.0,0.0,56.5,False,False,False,False,False,False,False
2024-10-08,,,4.5,93.0,408.0,0.0,56.6,False,False,False,False,False,False,False
2024-10-09,52.0,86.0,9.1,90.0,382.0,47.0,55.8,False,False,False,False,False,False,False
2024-10-11,50.0,90.0,6.3,93.0,118.0,81.0,54.2,False,False,False,False,True,True,True
2024-10-11,50.0,90.0,6.3,81.0,408.0,81.0,52.8,False,False,False,True,False,True,True
2024-10-11,50.0,90.0,6.3,92.0,377.0,66.0,50.8,False,False,False,False,False,True,True
2024-10-11,60.0,84.0,12.9,93.0,118.0,81.0,52.333333333333336,False,False,False,False,True,True,True
2024-10-11,60.0,84.0,12.9,81.0,408.0,81.0,53.666666666666664,False,False,False,True,False,True,True
2024-10-11,60.0,84.0,12.9,92.0,377.0,66.0,54.57142857142857,False,False,False,False,False,True,True
2024-10-13,62.0,73.0,11.4,93.0,411.0,15.0,56.0,False,False,False,False,False,False,False
2024-10-13,62.0,73.0,11.4,93.0,123.0,58.0,57.714285714285715,False,False,False,False,True,False,True
2024-10-15,71.0,45.0,5.6,85.0,389.0,58.0,60.714285714285715,False,False,False,False,False,False,False
2024-10-15,71.0,45.0,5.6,97.0,69.0,17.0,63.714285714285715,False,False,False,False,True,False,True
2024-10-16,51.0,81.0,15.1,92.0,139.0,17.0,62.42857142857143,False,False,True,False,True,False,True
2024-10-17,55.0,113.0,12.3,87.0,358.0,127.0,61.714285714285715,False,False,False,False,True,True,True
2024-10-17,55.0,113.0,12.3,90.0,338.0,127.0,61.0,False,False,False,False,True,True,True
2024-10-17,54.0,83.0,12.7,87.0,358.0,127.0,59.857142857142854,False,False,False,False,True,True,True
2024-10-17,54.0,83.0,12.7,90.0,338.0,127.0,58.714285714285715,False,False,False,False,True,True,True
2024-10-19,77.0,45.0,14.3,85.0,344.0,127.0,59.57142857142857,False,False,True,False,True,True,True
2024-10-21,,,5.2,,,,57.666666666666664,False,False,False,False,False,False,False
2024-10-22,53.0,117.0,8.2,87.0,526.0,90.0,58.0,False,False,False,False,False,True,True
2024-10-22,53.0,117.0,8.2,89.0,453.0,127.0,57.666666666666664,False,False,False,False,False,True,True
2024-10-22,52.0,109.0,4.8,87.0,526.0,90.0,57.166666666666664,False,False,False,False,False,True,True
2024-10-22,52.0,109.0,4.8,89.0,453.0,127.0,56.833333333333336,False,False,False,False,False,True,True
2024-10-23,55.0,102.0,10.2,88.0,349.0,22.0,57.0,False,False,False,False,True,False,True
2024-10-24,55.0,104.0,9.6,85.0,368.0,90.0,53.333333333333336,False,False,False,False,False,True,True
